,as_of,ask_id,fund_size
9078,2023-01,B13661,2288.54
9079,2023-02,B13661,2190.18
9080,2023-03,B13661,2289.76
9081,2023-04,B13661,2261.68
9082,2023-05,B13661,2283.77
9083,2023-06,B13661,2365.42
9084,2023-07,B13661,2418.1
9085,2023-08,B13661,2393.97
9086,2023-09,B13661,2226.93
9087,2023-10,B13661,2166.82
9088,2023-11,B13661,2414.63
9089,2023-12,B13661,2409.48
9090,2024-01,B13661,2420.48
9091,2024-02,B13661,2522.18
9092,2024-03,B13661,2544.4
9093,2024-04,B13661,2290.95
9094,2024-05,B13661,2300.15
9095,2024-06,B13661,2290.78
9096,2024-07,B13661,2313.19
9097,2024-08,B13661,2338.39
9098,2024-09,B13661,2300.76
9099,2024-10,B13661,2249.77
9100,2024-11,B13661,2417.92
9101,2024-12,B13661,2270.87
9102,2025-01,B13661,2289.09
9103,2025-02,B13661,2130.98
9104,2025-03,B13661,1964.21
9105,2025-04,B13661,1952.64
9106,2025-05,B13661,2038.92
9107,2025-06,B13661,2113.75
9108,2000-07,B13779,122.668
9109,2000-09,B13779,136.065
9110,2000-12,B13779,146.843
9111,2001-03,B13779,137.655
9112,2001-06,B13779,157.69
9113,2001-09,B13779,151.466
9114,2001-12,B13779,174.818
9115,2002-01,B13779,168.278
9116,2002-03,B13779,178.963
9117,2002-04,B13779,172.486
9118,2002-05,B13779,174.774
9119,2002-07,B13779,145.403
9120,2002-09,B13779,132.921
9121,2002-10,B13779,145.938
9122,2002-11,B13779,156.354
9123,2003-01,B13779,146.538
9124,2003-02,B13779,144.001
9125,2003-03,B13779,146.783
9126,2003-04,B13779,162.226
9127,2003-08,B13779,199.594
9128,2003-09,B13779,200.356
9129,2003-10,B13779,216.349
9130,2003-11,B13779,226.316
9131,2003-12,B13779,245.637
9132,2004-01,B13779,255.807
9133,2004-02,B13779,265.207
9134,2004-03,B13779,281.4
9135,2004-04,B13779,278.668
9136,2004-05,B13779,298.641
9137,2004-06,B13779,308.951
9138,2004-07,B13779,296.599
9139,2004-08,B13779,296.848
9140,2004-09,B13779,300.394
9141,2004-10,B13779,310.441
9142,2004-11,B13779,342.967
9143,2004-12,B13779,357.876
9144,2005-01,B13779,349.462
9145,2005-02,B13779,354.092
9146,2005-03,B13779,348.731
9147,2005-04,B13779,343.755
9148,2005-05,B13779,276.05
9149,2005-06,B13779,274.601
9150,2005-07,B13779,282.637
9151,2005-08,B13779,237.369
9152,2005-09,B13779,238.782
9153,2005-10,B13779,236.189
9154,2005-11,B13779,244.845
9155,2005-12,B13779,242.35
9156,2006-01,B13779,249.694
9157,2006-02,B13779,249.997
9158,2006-03,B13779,249.887
9159,2006-04,B13779,174.15
9160,2006-05,B13779,166.045
9161,2006-06,B13779,163.123
9162,2006-07,B13779,161.97
9163,2006-08,B13779,165.231
9164,2006-09,B13779,170.634
9165,2006-10,B13779,175.091
9166,2006-11,B13779,174.792
9167,2006-12,B13779,178.107
9168,2007-01,B13779,150.84
9169,2007-02,B13779,146.39
9170,2007-03,B13779,145.316
9171,2007-06,B13779,152.622
9172,2007-08,B13779,145.52
9173,2007-09,B13779,134.347
9174,2007-10,B13779,151.637
9175,2007-11,B13779,142.589
9176,2007-12,B13779,0.219492
9177,2008-01,B13779,76.501
9178,2008-02,B13779,70.6707
9179,2008-03,B13779,70.3029
9180,2008-04,B13779,71.1322
9181,2008-05,B13779,69.8873
9182,2008-06,B13779,63.2825
9183,2008-07,B13779,62.9755
9184,2008-08,B13779,63.7163
9185,2008-09,B13779,57.3202
9186,2008-10,B13779,46.8595
9187,2008-11,B13779,42.9619
9188,2008-12,B13779,42.7088
9189,2009-01,B13779,42.1419
9190,2009-02,B13779,39.1835
9191,2009-03,B13779,43.2531
9192,2009-04,B13779,50.4257
9193,2009-05,B13779,55.0965
9194,2009-06,B13779,57.7526
9195,2009-07,B13779,65.8736
9196,2009-08,B13779,69.7084
9197,2009-09,B13779,74.9362
9198,2009-10,B13779,75.728
9199,2009-11,B13779,80.4924
9200,2009-12,B13779,84.0753
9201,2010-01,B13779,84.247
9202,2010-02,B13779,141.251
9203,2010-03,B13779,157.883
9204,2010-04,B13779,168.879
9205,2010-05,B13779,159.531
9206,2010-06,B13779,152.626
9207,2010-07,B13779,163.98
9208,2010-08,B13779,158.439
9209,2010-09,B13779,174.333
9210,2010-10,B13779,183.503
9211,2010-11,B13779,184.862
9212,2010-12,B13779,203.27
9213,2011-01,B13779,212.413
9214,2011-02,B13779,228.819
9215,2011-03,B13779,227.615
9216,2011-04,B13779,242.815
9217,2011-05,B13779,245.711
9218,2011-06,B13779,239.215
9219,2011-07,B13779,230.158
9220,2011-08,B13779,221.698
9221,2011-09,B13779,208.278
9222,2011-10,B13779,232.486
9223,2011-11,B13779,234.238
9224,2011-12,B13779,242.302
9225,2012-01,B13779,254.524
9226,2012-02,B13779,269.194
9227,2012-03,B13779,284.133
9228,2012-04,B13779,285.064
9229,2012-05,B13779,266.591
9230,2012-06,B13779,281.413
9231,2012-07,B13779,285.686
9232,2012-08,B13779,298.65
9233,2012-09,B13779,285.543
9234,2012-10,B13779,219.234
9235,2012-11,B13779,225.451
9236,2012-12,B13779,229.941
9237,2013-01,B13779,245.355
9238,2013-02,B13779,252.778
9239,2013-03,B13779,267.4
9240,2013-04,B13779,282.443
9241,2013-05,B13779,306.762
9242,2013-06,B13779,308.653
9243,2013-07,B13779,346.292
9244,2013-08,B13779,341.982
9245,2013-09,B13779,399.086
9246,2013-10,B13779,439.359
9247,2013-11,B13779,469.197
9248,2013-12,B13779,500.304
9249,2014-01,B13779,498.594
9250,2014-02,B13779,531.15
9251,2014-03,B13779,560.596
9252,2014-04,B13779,572.738
9253,2014-05,B13779,601.19
9254,2014-06,B13779,654.771
9255,2014-07,B13779,660.128
9256,2014-08,B13779,705.374
9257,2014-09,B13779,630.042
9258,2014-10,B13779,657.04
9259,2014-11,B13779,684.872
9260,2014-12,B13779,693.795
9261,2015-01,B13779,673.865
9262,2015-02,B13779,725.597
9263,2015-03,B13779,732.224
9264,2015-04,B13779,735.124
9265,2015-05,B13779,748.58
9266,2015-06,B13779,752.328
9267,2015-07,B13779,757.152
9268,2015-08,B13779,706.229
9269,2015-09,B13779,673.643
9270,2015-10,B13779,728.476
9271,2015-11,B13779,737.039
9272,2015-12,B13779,721.839
9273,2016-01,B13779,677.558
9274,2016-02,B13779,682.469
9275,2016-03,B13779,748.509
9276,2016-04,B13779,758.751
9277,2016-05,B13779,775.162
9278,2016-06,B13779,780.478
9279,2016-07,B13779,825.283
9280,2016-08,B13779,835.605
9281,2016-09,B13779,848.142
9282,2016-10,B13779,830.191
9283,2016-11,B13779,904.452
9284,2016-12,B13779,947.73
9285,2017-01,B13779,983.056
9286,2017-02,B13779,1032.26
9287,2017-03,B13779,1052.63
9288,2017-04,B13779,1069.05
9289,2017-05,B13779,1076.41
9290,2017-06,B13779,1089.54
9291,2017-07,B13779,1094.01
9292,2017-08,B13779,1088.31
9293,2017-09,B13779,1126.21
9294,2017-10,B13779,1149.87
9295,2017-11,B13779,1188.79
9296,2017-12,B13779,1190.9
9297,2018-01,B13779,1230.61
9298,2018-02,B13779,1176.0
9299,2018-03,B13779,1151.9
9300,2018-04,B13779,1142.31
9301,2018-05,B13779,1161.2
9302,2018-06,B13779,1157.88
9303,2018-07,B13779,1187.41
9304,2018-08,B13779,1221.81
9305,2018-09,B13779,1221.8
9306,2018-10,B13779,1122.32
9307,2018-11,B13779,1145.0
9308,2018-12,B13779,1023.8
9309,2019-01,B13779,1144.89
9310,2019-02,B13779,1189.33
9311,2019-03,B13779,1195.2
9312,2019-04,B13779,1245.09
9313,2019-05,B13779,1150.35
9314,2019-06,B13779,1228.66
9315,2019-07,B13779,1236.1
9316,2019-08,B13779,1194.31
9317,2019-09,B13779,1213.69
9318,2019-10,B13779,1229.03
9319,2019-11,B13779,1271.47
9320,2019-12,B13779,1305.79
9321,2020-01,B13779,1271.87
9322,2020-02,B13779,1147.31
9323,2020-03,B13779,929.348
9324,2020-04,B13779,1071.59
9325,2020-05,B13779,1109.07
9326,2020-06,B13779,1120.26
9327,2020-07,B13779,1160.03
9328,2020-08,B13779,1217.86
9329,2020-09,B13779,1156.68
9330,2020-10,B13779,1115.45
9331,2020-11,B13779,1245.22
9332,2020-12,B13779,1287.71
9333,2021-01,B13779,1290.09
9334,2021-02,B13779,1340.47
9335,2021-03,B13779,1428.89
9336,2021-04,B13779,1478.29
9337,2021-05,B13779,1504.96
9338,2021-06,B13779,1511.84
9339,2021-07,B13779,1515.01
9340,2021-08,B13779,1555.22
9341,2021-09,B13779,1488.96
9342,2021-10,B13779,1566.43
9343,2021-11,B13779,1532.05
9344,2021-12,B13779,1566.63
9345,2022-01,B13779,1472.36
9346,2022-02,B13779,1461.76
9347,2022-03,B13779,1483.2
9348,2022-04,B13779,1357.55
9349,2022-05,B13779,1372.0
9350,2022-06,B13779,1237.14
9351,2022-07,B13779,1357.13
9352,2022-08,B13779,1307.51
9353,2022-09,B13779,1172.79
9354,2022-10,B13779,1261.29
9355,2022-11,B13779,1319.7
9356,2022-12,B13779,1244.85
9357,2023-01,B13779,1339.43
9358,2023-02,B13779,1303.77
9359,2023-03,B13779,1293.17
9360,2023-04,B13779,1287.85
9361,2023-05,B13779,1259.07
9362,2023-06,B13779,1337.95
9363,2023-07,B13779,1373.56
9364,2023-08,B13779,1331.32
9365,2023-09,B13779,1264.19
9366,2023-10,B13779,1211.12
9367,2023-11,B13779,1301.02
9368,2023-12,B13779,1356.13
9369,2024-01,B13779,1353.69
9370,2024-02,B13779,1407.37
9371,2024-03,B13779,1442.96
