,as_of,ask_id,fund_size
6301,2009-02,B15791,2.31647
6302,2009-03,B15791,2.56398
6303,2009-04,B15791,2.52207
6304,2009-05,B15791,2.32583
6305,2009-06,B15791,2.32047
6306,2009-07,B15791,2.32239
6307,2009-08,B15791,2.14844
6308,2009-09,B15791,2.14829
6309,2009-10,B15791,2.13439
6310,2009-11,B15791,2.08792
6311,2009-12,B15791,2.03548
6312,2010-01,B15791,2.043
6313,2010-02,B15791,2.28271
6314,2010-03,B15791,2.16084
6315,2010-04,B15791,2.16208
6316,2010-05,B15791,2.16587
6317,2010-06,B15791,2.09296
6318,2010-07,B15791,2.18381
6319,2010-08,B15791,2.18424
6320,2010-09,B15791,2.18453
6321,2010-10,B15791,2.1647
6322,2010-11,B15791,2.12733
6323,2010-12,B15791,2.41524
6324,2011-01,B15791,2.23713
6325,2011-02,B15791,1.91836
6326,2011-03,B15791,1.90113
6327,2011-04,B15791,1.95191
6328,2011-05,B15791,1.95564
6329,2011-06,B15791,1.92284
6330,2011-07,B15791,1.9192
6331,2011-08,B15791,1.86182
6332,2011-09,B15791,1.85883
6333,2011-10,B15791,1.86148
6334,2011-11,B15791,1.8606
6335,2011-12,B15791,1.82176
6336,2012-01,B15791,1.82706
6337,2012-02,B15791,1.76961
6338,2012-03,B15791,1.72475
6339,2012-04,B15791,1.71548
6340,2012-05,B15791,1.72259
6341,2012-06,B15791,1.72228
6342,2012-07,B15791,1.70557
6343,2012-08,B15791,1.70246
6344,2012-09,B15791,1.69379
6345,2012-10,B15791,2.15839
6346,2012-11,B15791,1.68893
6347,2012-12,B15791,1.69189
6348,2013-01,B15791,1.68533
6349,2013-02,B15791,1.68896
6350,2013-03,B15791,1.68921
6351,2013-04,B15791,1.69618
6352,2013-05,B15791,1.67601
6353,2013-06,B15791,1.64927
6354,2013-07,B15791,1.6527
6355,2013-08,B15791,1.6395
6356,2013-09,B15791,1.59906
6357,2013-10,B15791,1.60696
6358,2013-11,B15791,1.59926
6359,2013-12,B15791,1.58922
6360,2014-01,B15791,1.55143
6361,2014-02,B15791,1.55346
6362,2014-03,B15791,1.54397
6363,2014-04,B15791,1.56465
6364,2014-05,B15791,1.55842
6365,2014-06,B15791,1.25929
6366,2014-07,B15791,1.28109
6367,2014-08,B15791,1.28149
6368,2014-09,B15791,1.2791
6369,2014-10,B15791,1.22806
6370,2014-11,B15791,1.22481
6371,2014-12,B15791,1.22116
6372,2015-01,B15791,1.2325
6373,2015-02,B15791,1.2273
6374,2015-03,B15791,1.08111
6375,2015-04,B15791,1.08086
6376,2015-05,B15791,1.07867
6377,2015-06,B15791,1.07908
6378,2015-07,B15791,1.07906
6379,2015-08,B15791,1.07611
6380,2015-09,B15791,1.04152
6381,2015-10,B15791,1.05847
6382,2015-11,B15791,1.0585
6383,2015-12,B15791,1.08428
6384,2016-01,B15791,1.10032
6385,2016-02,B15791,1.10833
6386,2016-03,B15791,1.11358
6387,2016-04,B15791,1.11568
6388,2016-05,B15791,1.06864
6389,2016-06,B15791,1.07427
6390,2016-07,B15791,1.07551
6391,2016-08,B15791,1.37031
6392,2016-09,B15791,1.29256
6393,2016-10,B15791,1.28772
6394,2016-11,B15791,1.18374
6395,2016-12,B15791,1.18226
6396,2017-01,B15791,1.18453
6397,2017-02,B15791,1.2173
6398,2017-03,B15791,1.24775
6399,2017-04,B15791,1.29593
6400,2017-05,B15791,1.25578
6401,2017-06,B15791,1.25953
6402,2017-07,B15791,1.2655
6403,2017-08,B15791,1.26851
6404,2017-09,B15791,1.27267
6405,2017-10,B15791,1.27075
6406,2017-11,B15791,1.26359
6407,2017-12,B15791,1.3272
6408,2018-01,B15791,1.3131
6409,2018-02,B15791,1.3174
6410,2018-03,B15791,1.32102
6411,2018-04,B15791,1.62116
6412,2018-05,B15791,1.51818
6413,2018-06,B15791,1.51598
6414,2018-07,B15791,1.58269
